Column Name,RW Map Rule,CTR Map Rule,RW Alias
Buy,change_flag,change_flag,
CSA Eligible,,boolean_maker,
Discount Curve,,,
Include Notional,,boolean_maker,
Pay Lag Convention,,,
Payment Holiday,,,
Placeholder,placeholder,,
Product Type,prod_type,prod_type,
Strike Rate,,,
Notional,round_notional,,
Business Date Rule,,,Bus Date Rule
